name,category,description,classified_as,google product category	google product category
,Daily Living Aids->Sensory Products,Acousticon Hearing Aids Behind The Ear Audiphone Sound Amplifier JZ-1088F,hearing aid,	Health & Beauty > Health Care > Hearing Aids
,Other Crafts->Other Crafts,AMC JaneD Glitz Sea Sparkle Markers Warm Seas,marker,	Office Supplies > Office Instruments > Writing & Drawing Instruments > Markers & Highlighters
,Wedding Rings->Engagement Rings,Auriya Cushion-Cut 1 3/5ct Blue Sapphire and 2/5ct TDW Diamond Halo Engagement Ring 14K Gold,ring,	Hardware > Plumbing > Plumbing Fittings & Supports > Gaskets & O-Rings
",Plumbing->Pumps,""1"""" 2-Cycle Water Transfer Pump w 3/4"""" Garden Hose Adapter"",adapter,"	Home & Garden > Lawn & Garden > Watering & Irrigation > Garden Hoses
,Living Room Furniture->Sofas & Couches,Chester Dog's Sofa in Beige Fabric,sofa,	Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Textiles > Fabric
,Wedding Rings->Engagement Rings,Miadora 14k White Gold 3/4ct TDW Cushion and Round-Cut Diamond Halo Engagement Ring,ring,	Hardware > Plumbing > Plumbing Fittings & Supports > Gaskets & O-Rings
",Yard Care->Other Yard Care,""Classic Accessories StormPro RainProof Heavy-Duty Log Splitter Cover - log splitters 82""""l x 45""""w x 34""""h"",log splitter,"	Hardware > Tools > Log Splitters
,Fan Shop->College Themed,Clemson Tigers 2018 Football National Champions Gold Mint Coin,coin,	Sporting Goods > Athletics > Football > Footballs
,Fan Shop->College Themed,Alabama Crimson Tide 2018 Football National Champions Deluxe Gold Coin Ticket Collection,coin,	Arts & Entertainment > Hobbies & Creative Arts > Collectables > Collectable Coins & Currency
,Other Crafts->Other Crafts,Jesse James White Label Dsgn Elmnt Vintage Bloom,label,	Office Supplies > General Office Supplies > Labels & Tags
,Decorative Accessories->Accent Pieces,Crab Coin Dish,coin,	Clothing & Accessories > Costumes & Accessories
,Other Crafts->Other Crafts,Jesse James White Label Inspiration SomeLikeItHot,label,	Office Supplies > General Office Supplies > Labels & Tags
",Decorative Accessories->Accent Pieces,Chris Craft Runabout with Display Case - N/A,""suitcases, carrying cases, storage cases and similar articles"","	Clothing & Accessories > Handbags, Wallets & Cases
,Decorative Accessories->Accent Pieces,Wood Rectangle Tray with Screwed Side Rope Handles and Metal Sheet Ins,tray,	Hardware > Hardware Accessories > Hardware Fasteners > Screws
,As Is->As Is,Myra Rustic Mobile Serving Cart with Wine Inserts and Removable Tray Top by iNSPIRE Q Classic (As Is Item),tray,	Home & Garden > Kitchen & Dining > Tableware > Serveware > Serving Trays
,As Is->As Is,Southern Hills Cedarbrook Satin Nickel Cabinet Pulls with 4-inch Screw Spacing (Pack of 25) (As Is Item),pull,	Hardware > Hardware Accessories > Hardware Fasteners > Screws
,As Is->As Is,American Brass Celcon Bath Faucet 2 Handle Mobile Home Chrome Plated Plastic (As Is Item),faucet,	Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Plates
,Decorative Accessories->Accent Pieces,Kate and Laurel Forgeham Metal Tray with Handles - 26x6,tray,	Clothing & Accessories > Costumes & Accessories
,Decorative Accessories->Accent Pieces,3-Tier Metal Tray Black & Gold,decorative or ornamental article,	Home & Garden > Decor
,A/V Accessories->Other A/V Accessories,THINKSTATION MINI DP TO HDMI ADAPADAPTER,adapter,	Clothing & Accessories > Costumes & Accessories
,,Beautiful Grey Wooden Letters for Home and Office Decoration-Luxe collection by Decoriny,decorative or ornamental article,	Arts & Entertainment > Hobbies & Creative Arts > Collectables
,Decorative Accessories->Accent Pieces,Mercana Cameron Box,box,	Cameras & Optics > Cameras
,Living Room Furniture->Sofas & Couches,Chester Dog's Sofa in Grey Fabric,sofa,	Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Textiles > Fabric
,One-of-a-Kind Jewelry->One-of-a-Kind Sets,Handmade Patina Bohemian Chic Small Heart Pendant - Earrings Set (USA),earring,	Clothing & Accessories > Jewellery & Watches > Earrings
",Living Room Furniture->Sofas & Couches,""Serta Palisades 73"""" Sofa"",sofa,"	Furniture > Sofas
",Living Room Furniture->Sofas & Couches,""Serta Palisades 73"""" Sofa"",sofa,"	Furniture > Sofas
",Living Room Furniture->Sofas & Couches,""Serta Palisades 73"""" Sofa"",sofa,"	Furniture > Sofas
,As Is->As Is,Fairmont Left Arm Sofa Protective Cover (As Is Item),sofa,	Furniture > Sofas
",""Earrings->Crystal, Glass & Bead Earrings"",Isla Simone Rhodium Plated 20mm J-Hoop Earring,earring,"	Clothing & Accessories > Jewellery & Watches > Earrings
,Earrings->Gemstone Earrings,2.75 Carat Genuine Zambian Emerald and White Diamond 14K Yellow Gold Earrings,earring,	Clothing & Accessories > Jewellery & Watches > Earrings
",""Earrings->Crystal, Glass & Bead Earrings"",Isla Simone Rhodium Plated 20mm J-Hoop Earring,earring,"	Clothing & Accessories > Jewellery & Watches > Earrings
,Earrings->Gold Earrings,Angel Black Cherries 14K Gold Filled Thread Drop Dangle Earrings,earring,	Clothing & Accessories > Jewellery & Watches > Earrings
,Earrings->Pearl Earrings,DaVonna 14k White Gold 1/10cttw diamond Black Tahitian Pearl Lever-back Earrings,ring,	Clothing & Accessories > Jewellery & Watches > Earrings
",""Earrings->Crystal, Glass & Bead Earrings"",Isla Simone Rhodium Plated 20mm J-Hoop Earring,earring,"	Clothing & Accessories > Jewellery & Watches > Earrings
,Earrings->Pearl Earrings,DaVonna 14k White Gold 1/10cttw diamond Black Tahitian Pearl Lever-back Earrings,ring,	Clothing & Accessories > Jewellery & Watches > Earrings
,Earrings->Gemstone Earrings,0.92 Carat Genuine Zambian Emerald and White Diamond 14K Yellow Gold Earrings,earring,	Clothing & Accessories > Jewellery & Watches > Earrings
",Decorative Accessories->Accent Pieces,""Adams Trays, Set of 2"",tray,"	Clothing & Accessories > Costumes & Accessories
,Earrings->Gold Overlay Earrings,Sonia Hou Fire 3-Way Convertible 24K Gold Black Onyx Gemstone Ear Jacket Earrings,earring,	Clothing & Accessories > Jewellery & Watches > Earrings
",Decorative Accessories->Accent Pieces,""Kate and Laurel Bruillet Round Wooden Footed Tray - 15"""" diameter"",tray,"	Sporting Goods > Athletics > Rounders
,Orthopedic Supplies->Ergonomic Supplies,Aurora Black Memory Foam Coccyz Seat Cushion - N/A,seat cushion,	Electronics > Electronics Accessories > Memory
",Decorative Accessories->Accent Pieces,""Aluminum Crafted Decorative Leaf Trays, Set of Two, Bronze and Copper"",tray,"	Home & Garden > Decor > Decorative Trays
,,Visol Bremen Cigar Ashtray with Cigar Cutter and Punch,tray,	Home & Garden > Smoking Accessories > Cigar Cutters & Punches
",A/V Accessories->Other A/V Accessories,""OBI508 UNIVERSAL VOICE ADAPTER FOR ENTERPRISE, 8 FXS PORTS, NA"",adapter,"	Clothing & Accessories > Costumes & Accessories
,A/V Accessories->Other A/V Accessories,1080P H.265 INDOOR BOX STYLE PERPCAMERA,security camera,	Clothing & Accessories > Costumes & Accessories
,A/V Accessories->Other A/V Accessories,LIND INPUT FILTER FOR 40-90 VIN ADAPTER,adapter cable,	Hardware > Hardware Accessories > Filters & Screens
,A/V Accessories->Other A/V Accessories,10FT 3M DISPLAYPORT TO DVI CABLM/M ADAPTER CABLE LIFETIME WARR,adapter cable,	Electronics > Electronics Accessories > Cables
,A/V Accessories->Other A/V Accessories,MERAKI MV22 INDOOR VARIFOCAL DOME CAMERA,security camera,	Cameras & Optics > Cameras
,A/V Accessories->Other A/V Accessories,SIMPLESHARE TRANSMITTER WITH PWR TOUCH ADAPTER,adapter cable,	Clothing & Accessories > Costumes & Accessories
,A/V Accessories->Other A/V Accessories,10FT 3M DISPLAYPORT TO HDMI CABLM/M ADAPTER CABLE LIFETIME WARR,adapter cable,	Electronics > Electronics Accessories > Cables
,A/V Accessories->Other A/V Accessories,MINI DISPLAYPORT TO VGA ADAPTER 50 PACK,adapter cable,	Clothing & Accessories > Costumes & Accessories
,A/V Accessories->Other A/V Accessories,ROSE GOLD USB-C ADAPTER - USB ADAPC TO VGA DVI HDMI OR MDP ADAPTER,adapter cable,	Electronics > Electronics Accessories > Adaptors > USB Adapters
,A/V Accessories->Other A/V Accessories,LRA185 SHORT RACK ADAPTER KIT,adapter cable,	Clothing & Accessories > Clothing > Shorts
,Surveillance->Wireless Surveillance,HD 1080P Wifi Bulb Security IP Camera 360 Degree Panoramic Webcam - 17*7.5 cm,security camera,	Cameras & Optics > Cameras
,A/V Accessories->Other A/V Accessories,POWER ADAPTER FOR ATA191 AND ATA192,adapter cable,	Electronics > Electronics Accessories > Power > Power Adapters & Chargers
",A/V Accessories->Other A/V Accessories,""WISENET 5 NETWORK ZOOM BOX CAMERA, 2MP, FULL HD(1080P) 60FPS, 32X OPTICAL ZOOM L"",security camera,"	Cameras & Optics
,A/V Accessories->Other A/V Accessories,FTDI USB SERIAL RS-232 ADAPTER CABLCABLE W/ COM RETENTION M/M 5FT,adapter cable,	Electronics > Electronics Accessories > Adaptors > USB Adapters
,A/V Accessories->Other A/V Accessories,6U WALLMOUNT RACK WIDE CABLE MANAGEMENT,adapter cable,	Electronics > Electronics Accessories > Cable Management
,A/V Accessories->Other A/V Accessories,40W ADAPTER ROHS IEC-320 C14 PWR 12V 3.3A BARREL 1500MM 62368 VI 5K,adapter cable,	Clothing & Accessories > Costumes & Accessories
,A/V Accessories->Other A/V Accessories,HDMI CABLE INDUSTRIAL ETHERNET M/M 3FT,adapter cable,	Electronics > Electronics Accessories > Cables
,A/V Accessories->Other A/V Accessories,HDMI CABLE INDUSTRIAL ETHERNET M/M 12FT,adapter cable,	Electronics > Electronics Accessories > Cables
,A/V Accessories->Other A/V Accessories,HDMI CABLE INDUSTRIAL ETHERNET M/M 10FT,adapter cable,	Electronics > Electronics Accessories > Cables
,A/V Accessories->Other A/V Accessories,APC SYMMETRA RM 4FT EXTENDER CABLE FOR 2,adapter cable,	Electronics > Electronics Accessories > Cables
",A/V Accessories->Other A/V Accessories,""NETWORK VANDAL OUTDOOR MULTI-SENSOR DOME CAMERA, PANORAMIC 180DEG/220DEG VIEW, ("",security camera,"	Cameras & Optics > Cameras
,A/V Accessories->Other A/V Accessories,65W AC SMART PWR ADAPTER PWR IM WARRANTY SEE NOTES,adapter cable,	Toys & Games > Outdoor Play Equipment > See-Saws
,A/V Accessories->Other A/V Accessories,15FT 5M DISPLAYPORT TO VGA M/M CABLADAPTER CABLE BLACK LIFETIME WARR,adapter cable,	Electronics > Electronics Accessories > Cables
,A/V Accessories->Other A/V Accessories,10FT 3M MINI DISPLAYPORT TO VGAADAPCONVERTER ADAPTER CABLE M/M,adapter cable,	Electronics > Electronics Accessories > Cables
,A/V Accessories->Other A/V Accessories,IPHONE CHARGER KIT AND 3FT PWR 8PIN CABLE IPHONE 6 7 8 X 3YR WARR,adapter cable,	Electronics > Electronics Accessories > Cables
,A/V Accessories->Other A/V Accessories,KANEX HIGH-SPEED HDMI CABLE (V. 1.4 WITH ETHERNET CHANNEL AND AUDIO RETURN CHANN,adapter cable,	Electronics > Electronics Accessories > Cables > Audio & Video Cables
,A/V Accessories->Other A/V Accessories,HDMI CABLE INDUSTRIAL ETHERNET M/M 12FT,adapter cable,	Electronics > Electronics Accessories > Cables
,As Is->As Is,Ring White Wi-Fi Security Camera 5 in. H x 2.75 in. W x 2.7 in. L (As Is Item),security camera,	Cameras & Optics > Cameras
,A/V Accessories->Other A/V Accessories,IPAD CHARGER KIT W/ 6FT 8PIN PWR CABLE IPHONE 6 7 8 X IPAD4 MINI PRO,adapter cable,	Electronics > Electronics Accessories > Cables
,A/V Accessories->Other A/V Accessories,DISPLAYPORT TO DVI ACTIVE ADAPTER 50PACK,adapter cable,	Clothing & Accessories > Costumes & Accessories
,A/V Accessories->Other A/V Accessories,AXIOM 102-WATT AC ADAPTER FOR MICROSOFT SURFACE - ADU-00001,adapter cable,	Clothing & Accessories > Costumes & Accessories
,A/V Accessories->Other A/V Accessories,USB C ADAPTER 4K HDMI GBE USB-A HUB,adapter cable,	Electronics > Electronics Accessories > Computer Components > USB & FireWire Hubs
",A/V Accessories->Other A/V Accessories,""FP530 AC ADAPTER - NORTH AM., 100-240VAC 50/60HZ"",adapter cable,"	Clothing & Accessories > Costumes & Accessories
,A/V Accessories->Other A/V Accessories,EXTEND HDMI CABLE TRANSMISSION DISTANCE TO UP TO 20 METERS,adapter cable,	Hardware > Tools > Measuring Tools & Sensors > Distance Meters
,A/V Accessories->Other A/V Accessories,19OPEN FRAME DESKTOP RACK.,rack,	Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Tools > Frames, Hoops & Stretchers
,A/V Accessories->Other A/V Accessories,INTERNET SECURITY 2019 1U CROMRETAIL BOX NORMAL 1+U,security camera,	Clothing & Accessories > Costumes & Accessories
,Cell Phone Accessories->Other Cell Phone Accessories,Urbo Keyring Charger Cable with USB-A to Type-C Connector with 56k ohm pull-up resistor,adapter cable,	Electronics > Electronics Accessories > Cables
,A/V Accessories->Other A/V Accessories,ORIGINAL ACER ADAPTER FOR ACER ASPIRE CLOUD BOOK,adapter cable,	Media > Books
