name,category,description,classified_as,google product category
,A/V Accessories->Other A/V Accessories,THINKSTATION MINI DP TO HDMI ADAPADAPTER,adapter,
,,Beautiful Grey Wooden Letters for Home and Office Decoration-Luxe collection by Decoriny,decorative or ornamental article,
,Decorative Accessories->Accent Pieces,Mercana Cameron Box,box,
,Living Room Furniture->Sofas & Couches,Chester Dog's Sofa in Grey Fabric,sofa,
,One-of-a-Kind Jewelry->One-of-a-Kind Sets,Handmade Patina Bohemian Chic Small Heart Pendant - Earrings Set (USA),earring,
,Living Room Furniture->Sofas & Couches,"Serta Palisades 73"" Sofa",sofa,
,Living Room Furniture->Sofas & Couches,"Serta Palisades 73"" Sofa",sofa,
,Living Room Furniture->Sofas & Couches,"Serta Palisades 73"" Sofa",sofa,
,As Is->As Is,Fairmont Left Arm Sofa Protective Cover (As Is Item),sofa,
,"Earrings->Crystal, Glass & Bead Earrings",Isla Simone Rhodium Plated 20mm J-Hoop Earring,earring,
,Earrings->Gemstone Earrings,2.75 Carat Genuine Zambian Emerald and White Diamond 14K Yellow Gold Earrings,earring,
,"Earrings->Crystal, Glass & Bead Earrings",Isla Simone Rhodium Plated 20mm J-Hoop Earring,earring,
,Earrings->Gold Earrings,Angel Black Cherries 14K Gold Filled Thread Drop Dangle Earrings,earring,
,Earrings->Pearl Earrings,DaVonna 14k White Gold 1/10cttw diamond Black Tahitian Pearl Lever-back Earrings,ring,
,"Earrings->Crystal, Glass & Bead Earrings",Isla Simone Rhodium Plated 20mm J-Hoop Earring,earring,
,Earrings->Pearl Earrings,DaVonna 14k White Gold 1/10cttw diamond Black Tahitian Pearl Lever-back Earrings,ring,
,Earrings->Gemstone Earrings,0.92 Carat Genuine Zambian Emerald and White Diamond 14K Yellow Gold Earrings,earring,
,Decorative Accessories->Accent Pieces,"Adams Trays, Set of 2",tray,
,Earrings->Gold Overlay Earrings,Sonia Hou Fire 3-Way Convertible 24K Gold Black Onyx Gemstone Ear Jacket Earrings,earring,
,Decorative Accessories->Accent Pieces,"Kate and Laurel Bruillet Round Wooden Footed Tray - 15"" diameter",tray,
,Orthopedic Supplies->Ergonomic Supplies,Aurora Black Memory Foam Coccyz Seat Cushion - N/A,seat cushion,
,Decorative Accessories->Accent Pieces,"Aluminum Crafted Decorative Leaf Trays, Set of Two, Bronze and Copper",tray,
,,Visol Bremen Cigar Ashtray with Cigar Cutter and Punch,tray,
,A/V Accessories->Other A/V Accessories,"OBI508 UNIVERSAL VOICE ADAPTER FOR ENTERPRISE, 8 FXS PORTS, NA",adapter,
,A/V Accessories->Other A/V Accessories,1080P H.265 INDOOR BOX STYLE PERPCAMERA,security camera,
,A/V Accessories->Other A/V Accessories,LIND INPUT FILTER FOR 40-90 VIN ADAPTER,adapter cable,
,A/V Accessories->Other A/V Accessories,10FT 3M DISPLAYPORT TO DVI CABLM/M ADAPTER CABLE LIFETIME WARR,adapter cable,
,A/V Accessories->Other A/V Accessories,MERAKI MV22 INDOOR VARIFOCAL DOME CAMERA,security camera,
,A/V Accessories->Other A/V Accessories,SIMPLESHARE TRANSMITTER WITH PWR TOUCH ADAPTER,adapter cable,
,A/V Accessories->Other A/V Accessories,10FT 3M DISPLAYPORT TO HDMI CABLM/M ADAPTER CABLE LIFETIME WARR,adapter cable,
,A/V Accessories->Other A/V Accessories,MINI DISPLAYPORT TO VGA ADAPTER 50 PACK,adapter cable,
,A/V Accessories->Other A/V Accessories,ROSE GOLD USB-C ADAPTER - USB ADAPC TO VGA DVI HDMI OR MDP ADAPTER,adapter cable,
,A/V Accessories->Other A/V Accessories,LRA185 SHORT RACK ADAPTER KIT,adapter cable,
,Surveillance->Wireless Surveillance,HD 1080P Wifi Bulb Security IP Camera 360 Degree Panoramic Webcam - 17*7.5 cm,security camera,
,A/V Accessories->Other A/V Accessories,POWER ADAPTER FOR ATA191 AND ATA192,adapter cable,
,A/V Accessories->Other A/V Accessories,"WISENET 5 NETWORK ZOOM BOX CAMERA, 2MP, FULL HD(1080P) 60FPS, 32X OPTICAL ZOOM L",security camera,
,A/V Accessories->Other A/V Accessories,FTDI USB SERIAL RS-232 ADAPTER CABLCABLE W/ COM RETENTION M/M 5FT,adapter cable,
,A/V Accessories->Other A/V Accessories,6U WALLMOUNT RACK WIDE CABLE MANAGEMENT,adapter cable,
,A/V Accessories->Other A/V Accessories,40W ADAPTER ROHS IEC-320 C14 PWR 12V 3.3A BARREL 1500MM 62368 VI 5K,adapter cable,
,A/V Accessories->Other A/V Accessories,HDMI CABLE INDUSTRIAL ETHERNET M/M 3FT,adapter cable,
,A/V Accessories->Other A/V Accessories,HDMI CABLE INDUSTRIAL ETHERNET M/M 12FT,adapter cable,
,A/V Accessories->Other A/V Accessories,HDMI CABLE INDUSTRIAL ETHERNET M/M 10FT,adapter cable,
,A/V Accessories->Other A/V Accessories,APC SYMMETRA RM 4FT EXTENDER CABLE FOR 2,adapter cable,
,A/V Accessories->Other A/V Accessories,"NETWORK VANDAL OUTDOOR MULTI-SENSOR DOME CAMERA, PANORAMIC 180DEG/220DEG VIEW, (",security camera,
,A/V Accessories->Other A/V Accessories,65W AC SMART PWR ADAPTER PWR IM WARRANTY SEE NOTES,adapter cable,
,A/V Accessories->Other A/V Accessories,15FT 5M DISPLAYPORT TO VGA M/M CABLADAPTER CABLE BLACK LIFETIME WARR,adapter cable,
,A/V Accessories->Other A/V Accessories,10FT 3M MINI DISPLAYPORT TO VGAADAPCONVERTER ADAPTER CABLE M/M,adapter cable,
,A/V Accessories->Other A/V Accessories,IPHONE CHARGER KIT AND 3FT PWR 8PIN CABLE IPHONE 6 7 8 X 3YR WARR,adapter cable,
,A/V Accessories->Other A/V Accessories,KANEX HIGH-SPEED HDMI CABLE (V. 1.4 WITH ETHERNET CHANNEL AND AUDIO RETURN CHANN,adapter cable,
,A/V Accessories->Other A/V Accessories,HDMI CABLE INDUSTRIAL ETHERNET M/M 12FT,adapter cable,
,As Is->As Is,Ring White Wi-Fi Security Camera 5 in. H x 2.75 in. W x 2.7 in. L (As Is Item),security camera,
,A/V Accessories->Other A/V Accessories,IPAD CHARGER KIT W/ 6FT 8PIN PWR CABLE IPHONE 6 7 8 X IPAD4 MINI PRO,adapter cable,
,A/V Accessories->Other A/V Accessories,DISPLAYPORT TO DVI ACTIVE ADAPTER 50PACK,adapter cable,
,A/V Accessories->Other A/V Accessories,AXIOM 102-WATT AC ADAPTER FOR MICROSOFT SURFACE - ADU-00001,adapter cable,
,A/V Accessories->Other A/V Accessories,USB C ADAPTER 4K HDMI GBE USB-A HUB,adapter cable,
,A/V Accessories->Other A/V Accessories,"FP530 AC ADAPTER - NORTH AM., 100-240VAC 50/60HZ",adapter cable,
,A/V Accessories->Other A/V Accessories,EXTEND HDMI CABLE TRANSMISSION DISTANCE TO UP TO 20 METERS,adapter cable,
,A/V Accessories->Other A/V Accessories,19OPEN FRAME DESKTOP RACK.,rack,
,A/V Accessories->Other A/V Accessories,INTERNET SECURITY 2019 1U CROMRETAIL BOX NORMAL 1+U,security camera,
,Cell Phone Accessories->Other Cell Phone Accessories,Urbo Keyring Charger Cable with USB-A to Type-C Connector with 56k ohm pull-up resistor,adapter cable,
,A/V Accessories->Other A/V Accessories,ORIGINAL ACER ADAPTER FOR ACER ASPIRE CLOUD BOOK,adapter cable,
